# vehicleID, maxLat, minLat, maxLong, minLong
1026091,39.81328,39.754501,-105.044278,-105.113193
1026101,44.976588,44.934752,-92.043383,-92.107099
1026105,35.153672,35.091633,-80.859756,-80.940425
1026108,42.291809,42.246946,-96.626114,-96.953561
1026110,47.691553,47.625993,-95.84275,-95.897203
1026124,33.248996,33.172031,-117.36205,-117.572026
1026135,40.002299,39.962624,-76.794127,-76.875451
1026138,32.698782,32.671468,-97.19458,-97.362775
1026150,41.97734,41.940582,-104.320826,-104.429516
1026154,42.750579,42.678484,-96.916669,-97.149721
1026159,43.309777,43.269805,-89.687524,-89.737333
1026165,33.338069,33.276449,-79.848887,-80.037492
1026166,41.202087,41.155356,-75.911683,-75.956286
1026177,42.679289,42.628453,-95.086245,-95.359357
1026180,34.115172,34.070134,-86.577463,-86.61356
1026184,28.933491,28.893776,-81.647417,-81.763789
1026189,33.348963,33.304189,-115.951522,-116.084862
1026190,37.486301,37.453502,-81.691233,-81.721751
1026191,41.26591,41.205604,-96.349552,-96.404659
1026193,42.185531,42.128764,-93.818624,-94.017306
1026196,28.747151,28.676386,-99.746284,-99.819118
1026197,35.02547,34.969263,-80.775302,-80.822661
1026218,35.306992,35.249804,-93.973629,-94.036959
1026221,39.831413,39.767233,-97.513458,-97.653946
1026225,34.522501,34.469169,-87.818765,-87.892625
1026227,37.672949,37.62188,-79.349816,-79.451903
1026242,47.155889,47.095463,-98.284332,-98.359842
1026244,44.940162,44.908356,-91.224439,-91.327781
1026245,42.879146,42.819346,-90.627077,-90.726399
1026256,28.554411,28.526628,-81.141942,-81.202374
1026262,38.736787,38.700839,-75.737485,-75.814017
1026278,43.065368,43.011403,-75.898751,-75.988773
1026291,43.599033,43.53757,-91.207305,-91.259108
1026297,42.852994,42.773668,-97.423852,-97.524353
1026299,41.757471,41.720954,-112.148921,-112.222954
1026302,40.516312,40.468711,-94.825222,-94.885356
1026303,27.576455,27.512876,-82.704511,-82.786963
1026317,48.322753,48.24741,-116.524389,-116.718887
1026326,40.499301,40.421649,-84.469607,-84.542795
1026330,47.345657,47.313426,-114.086481,-114.146164
1026337,45.274472,45.238624,-122.528976,-122.84214
1026359,43.421379,43.380256,-94.291414,-94.34266
1026360,32.042255,31.998226,-102.284496,-102.351594
1026361,36.210943,36.15441,-78.949811,-80.205775
1026371,40.040238,39.967042,-89.209762,-89.287035
1026378,35.050722,34.997075,-101.860637,-101.935195
1026380,37.988036,37.942467,-89.068858,-89.111104
1026381,40.349892,40.311609,-74.014475,-74.116645
1026397,41.740762,41.686157,-71.044589,-71.107185
1026402,42.550713,42.519834,-89.928757,-90.435656
1026407,35.89163,35.839696,-78.444188,-78.675906
1026410,40.844658,40.803524,-72.795796,-72.846719
1026411,40.953246,40.91119,-76.150144,-76.19747
1026413,38.049048,37.99549,-121.302299,-121.385918
1026418,38.411463,38.377887,-89.459901,-89.495037
1026427,39.80813,39.758034,-75.530934,-75.631526
1026431,39.832319,39.777135,-82.023219,-82.158093
1026436,29.80911,29.778175,-94.753195,-95.304699
1026437,39.672844,39.603547,-86.799413,-86.91974
1026438,26.239836,26.206431,-98.276696,-98.398554
1026441,39.359418,39.326087,-110.630334,-111.305072
1026450,39.204886,39.145457,-121.578686,-122.243184
1026458,38.131871,38.081045,-85.694882,-85.77951
1026464,40.941655,40.887645,-72.264514,-72.307891
1026474,38.242745,38.207029,-78.999288,-79.041849
1026478,45.737092,45.689356,-122.475909,-122.712722
1026479,44.492356,44.451176,-89.10723,-89.171067
1026482,43.675752,43.608718,-110.555805,-110.624998
1026483,41.60913,41.553094,-88.888914,-88.939768
1026494,38.939698,38.888107,-86.968293,-87.118917
1026497,46.699832,46.646435,-97.811428,-97.891921
1026501,39.872649,39.839501,-86.626999,-86.695434
1026520,40.235109,40.169382,-76.111713,-76.164499
1026524,33.749755,33.708694,-85.235094,-85.289322
1026526,46.097235,45.982881,-102.681862,-102.798883
1026527,34.940943,34.860702,-82.393734,-82.487755
1026528,27.795529,27.732983,-82.625194,-82.731023
1026530,33.069369,33.036421,-84.300436,-85.350102
1026532,42.448444,42.409455,-120.581366,-134.310415
1026539,41.281678,41.225178,-78.6896,-78.749418
1026558,39.37395,39.333251,-84.905859,-85.586612
1026561,39.065401,39.004983,-76.891279,-77.067697
1026569,34.836444,34.775688,-84.743712,-84.780357
1026580,39.733105,39.680821,-95.481679,-95.714475
1026586,40.840041,40.795794,-72.670489,-72.725318
1026602,35.532509,35.48517,-80.964241,-81.03041
1026611,39.717238,39.621185,-78.866135,-79.016441
1026617,36.889493,36.854699,-101.175695,-101.245782
1026619,35.249834,35.20275,-99.420252,-99.501022
1026620,28.075579,28.030108,-81.895413,-81.96373
1026626,48.396856,48.319336,-104.377124,-104.516464
1026628,39.955676,39.910263,-87.815521,-87.956843
1026629,46.02083,45.976949,-95.561327,-95.630639
1026643,37.350922,37.312577,-96.6578,-96.71712
